,magnifying glass + plus zoom in
,magnifying glass - minus zoom out
,power off switch
,signal rectangles
,cog gear preference options
,trash bin
,house
,file document
,clock
,street road
,download
,arrow circle down
,arrow circle up
,inbox 
,play circle
,redo clockwise
,sync clockwise
,table badge 
,lock
,flag
,headphones
,volume off
,volume down
,volume up
,qr code qrcode
,barcode
,tag
,tags
,book
,bookmarks
,printer
,camera 
,text a serif
,text b bold serif
,text i italic serif
,text t serif height
,text t serif width
,text aligned left
,text aligned center
,text aligned right
,text aligned justified
,listed text
,outdented text
,indented text
,movie camera video
,picture image
,pencil
,map marker pin 
,adjust circle half white black outline solid
,drop tint
,edit pencil square rounded
,share square rounded
,check square rounded
,arrows 4 directions
,step backward rewind triangle
,fast backward rewind triangles
,backward rewind triangles
,play triangle
,pause
,stop
,forward triangles
,fast forward triangles
,step forward triangle
,eject
,chevron left
,chevron right
,plus circle
,minus circle
,times multiply circle
,check circle
,question circle
,info circle
,
,times multiply circle outline
,check circle outline
,slash circle outline
,arrow left
,arrow right
,arrow top
,arrow down bottom
,share arrow right
,expand arrows
,compress arrows
,plus
,minus
,asterisk
,exclamation circle
,gift
,leaf
,
,visible eye
,invisible hidden eye backslash
,exclamation triangle warning danger
,airplane
,calendar agenda
,random arrows
,comment comics cloud speak
,magnet
,angle up
,angle down
,retweet
,shopping cart
,folder
,folder opened
,arrows 2 directions vertical
,arrows 2 directions horizontal
,chart bar graphic
,tritter icon mark boxed
,facebook icon mark boxed
,old camera
,old key
,gears cogs
,comments comics clouds speak
,thumbs up outline
,thumbs down outline
,half star left
,heart outline
,sign out log out exit
,linkedin icon mark
,pin
,external link arrow box rounded
,sign in log in enter
,trophy
,github icon mark
,upload
,lemon outline
,telephone handset
,square rounded outline
,bookmarks outline
,telephone handset boxed square
,twitter mark icon
,facebook icon mark
,github icon mark
,unlocked unprotected
,credit card
,rss
,hard disk outline hdd
,bullhorn megaphone
,bell outline notification
,certificate star
,hand pointing right outline
,hand pointing left outline
,hand pointing top up outline
,hand pointing bottom down outline
,arrow left circle
,arrow right circle
,arrow top up circle
,arrow bottom down circle
,globe americas world earth
,wrench
,server hard disks hdd
,funnel filter
,briefcase suitcase bag
,expand 4 arrows decompress
,users people persons
,link url chain
,cloud
,flask chemistry lab
,scissor outline
,files 2 document
,attach
,floppy disk outline
,square rounded
,bars list justified text 3 rows
,list ul 3 rows
,list ol 3 rows
,strikethrough line
,underline
,calendar agenda
,magic wand
,truck
,pinterest rounded icon mark
,pinterest squared icon mark
,google plus squared icon mark
,google plus icon mark
,money bill 1 dollar
,caret down bottom triangle
,caret top up triangle
,caret left triangle
,caret right triangle
,calendar day 2 columns
,sort 2 triangles
,sort down triangle bottom
,sort up triangle top
,envelope
,linkedin icon mark
,undo refresh
,gavel judge
,tachometer dashboard
,comment comics cloud speak outline
,comments comics clouds speak outline
,bolt lightning
,sitemap organize
,umbrella
,paste clipboard document file
,lightbulb outline
,exchange arrows 2 opposite directions
,cloud download
,cloud upload
,user md medic doctor
,stethoscope
,bag suitcase
,bell notification
,coffe mug cup
,utensils fork knife
,document file outline
,building
,hospital
,ambulance
,first aid
,fighter jet airplane
,beer
,hospital sign h square icon rounded
,plus square rounded
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
